央视,#genre#
央视台球,http://111.48.34.237/PLTV/88888888/224/3221230484/1.m3u8
兵器科技,http://111.48.34.237/PLTV/88888888/224/3221230162/1.m3u8
兵器科技,http://111.48.34.237/PLTV/88888888/224/3221230537/1.m3u8

卫视,#genre#
北京卫视,http://111.48.34.237/PLTV/88888888/224/3221229741/1.m3u8
北京卫视,http://111.48.34.237/PLTV/88888888/224/3221230501/1.m3u8
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221229808/1.m3u8
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221230448/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221229778/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221230505/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221229756/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221229810/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221230507/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230502/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230521/1.m3u8
广东卫视,http://111.48.34.237/PLTV/88888888/224/3221230503/1.m3u8
广西卫视,http://111.48.34.237/PLTV/88888888/224/3221230328/1.m3u8
贵州卫视,http://111.48.34.237/PLTV/88888888/224/3221229758/1.m3u8
贵州卫视,http://111.48.34.237/PLTV/88888888/224/3221230138/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221229794/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221230141/1.m3u8
河北卫视,http://111.48.34.237/PLTV/88888888/224/3221229840/1.m3u8
河北卫视,http://111.48.34.237/PLTV/88888888/224/3221230143/1.m3u8
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221229870/1.m3u8
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221230511/1.m3u8
黑龙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229816/1.m3u8
黑龙江卫视,http://111.48.34.237/PLTV/88888888/224/3221230462/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221230509/1.m3u8
湖南卫视,http://111.48.34.237/PLTV/88888888/224/3221229739/1.m3u8
湖南卫视,http://111.48.34.237/PLTV/88888888/224/3221229983/1.m3u8
吉林卫视,http://111.48.34.237/PLTV/88888888/224/3221230361/1.m3u8
江苏卫视,http://111.48.34.237/PLTV/88888888/224/3221229743/1.m3u8
江苏卫视,http://111.48.34.237/PLTV/88888888/224/3221230497/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221229752/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221230519/1.m3u8
辽宁卫视,http://111.48.34.237/PLTV/88888888/224/3221229825/1.m3u8
辽宁卫视,http://111.48.34.237/PLTV/88888888/224/3221230464/1.m3u8
内蒙古卫视,http://111.48.34.237/PLTV/88888888/224/3221229704/1.m3u8
内蒙古卫视,http://111.48.34.237/PLTV/88888888/224/3221230039/1.m3u8
宁夏卫视,http://111.48.34.237/PLTV/88888888/224/3221229688/1.m3u8
宁夏卫视,http://111.48.34.237/PLTV/88888888/224/3221230036/1.m3u8
青海卫视,http://111.48.34.237/PLTV/88888888/224/3221229731/1.m3u8
青海卫视,http://111.48.34.237/PLTV/88888888/224/3221230101/1.m3u8
三沙卫视,http://111.48.34.237/PLTV/88888888/224/3221230410/1.m3u8
厦门卫视,http://111.48.34.237/PLTV/88888888/224/3221230498/1.m3u8
厦门卫视,http://111.48.34.237/PLTV/88888888/224/3221230527/1.m3u8
山东教育卫视,http://111.48.34.237/PLTV/88888888/224/3221230459/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221229827/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221230456/1.m3u8
山西卫视,http://111.48.34.237/PLTV/88888888/224/3221229721/1.m3u8
山西卫视,http://111.48.34.237/PLTV/88888888/224/3221230038/1.m3u8
陕西卫视,http://111.48.34.237/PLTV/88888888/224/3221229735/1.m3u8
陕西卫视,http://111.48.34.237/PLTV/88888888/224/3221230525/1.m3u8
深圳卫视,http://111.48.34.237/PLTV/88888888/224/3221230454/1.m3u8
深圳卫视,http://111.48.34.237/PLTV/88888888/224/3221229712/1.m3u8
四川卫视,http://111.48.34.237/PLTV/88888888/224/3221229901/1.m3u8
四川卫视,http://111.48.34.237/PLTV/88888888/224/3221230140/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221229786/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221230458/1.m3u8
西藏卫视,http://111.48.34.237/PLTV/88888888/224/3221229727/1.m3u8
西藏卫视,http://111.48.34.237/PLTV/88888888/224/3221230103/1.m3u8
新疆卫视,http://111.48.34.237/PLTV/88888888/224/3221229729/1.m3u8
新疆卫视,http://111.48.34.237/PLTV/88888888/224/3221230030/1.m3u8
兵团卫视,http://111.48.34.237/PLTV/88888888/224/3221230032/1.m3u8
云南卫视,http://111.48.34.237/PLTV/88888888/224/3221229723/1.m3u8
